"TaxonKey","Country_Territory","Neighbor_Territory","Model_Index","Area_Index","CT_fishing_entity","NT_fishing_entity","n()","Same_Nation"
600006,"Fiji","Tonga",100,0.33289124668435,"Fiji","Tonga",2,"No"
600006,"Fiji","Tuvalu",100,0.360864040660737,"Fiji","Tuvalu",2,"No"
600006,"Fiji","Wallis & Futuna Isl. (France)",100,0.178104575163399,"Fiji","Wallis & Futuna Isl. (France)",2,"No"
600006,"France (Mediterranean)","Italy",100,0.933333333333333,"France","Italy",1,"No"
600006,"France (Mediterranean)","Corsica (France)",100,0.551724137931034,"France","Corsica (France)",NA,"No"
600006,"France (Mediterranean)","Sardinia (Italy)",100,0.850574712643678,"France","Sardinia (Italy)",NA,"No"
600006,"France (Mediterranean)","Balearic Island (Spain)",100,0.666666666666667,"France","Balearic Island (Spain)",NA,"No"
600006,"France (Mediterranean)","Spain (Mediterranean and Gulf of Cadiz)",100,0.811594202898551,"France","Spain (Mediterranean and Gulf of Cadiz)",NA,"No"
600006,"French Guiana","Brazil",100,0.996887966804979,"French Guiana","Brazil",1,"No"
600006,"French Polynesia","Cook Islands",100,0.221633085896076,"French Polynesia","Cook Islands",2,"No"
600006,"French Polynesia","Pitcairn (UK)",100,0.166382737081204,"French Polynesia","Pitcairn (UK)",2,"No"
600006,"French Polynesia","Kiribati (Line Islands)",100,0.260453400503778,"French Polynesia","Kiribati",3,"No"
600006,"Gabon","Equatorial Guinea",100,0.818181818181818,"Gabon","Equatorial Guinea",2,"No"
600006,"Gabon","Sao Tome & Principe",100,0.636363636363636,"Gabon","Sao Tome & Principe",2,"No"
600006,"Galapagos Isl. (Ecuador)","Costa Rica (Pacific)",100,0.598039215686274,"Galapagos Isl. (Ecuador)","Costa Rica",2,"No"
600006,"Gambia","Cape Verde",100,0.993506493506494,"Gambia","Cape Verde",2,"No"
600006,"Gambia","Senegal",100,0.818181818181818,"Gambia","Senegal",2,"No"
600006,"Gaza Strip","Egypt (Mediterranean)",100,0.918367346938776,"Gaza Strip","Egypt",2,"No"
600006,"Gaza Strip","Israel (Mediterranean)",100,0.80952380952381,"Gaza Strip","Israel",2,"No"
600006,"Ghana","Togo",100,0.666666666666667,"Ghana","Togo",2,"No"
600006,"Greece","Albania",100,0.148148148148148,"Greece","Albania",2,"No"
600006,"Greece","Cyprus (South)",100,0.622950819672131,"Greece","Cyprus (South)",NA,"No"
600006,"Greece","Italy",100,0.88780487804878,"Greece","Italy",1,"No"
600006,"Greece","Libya",100,0.883838383838384,"Greece","Libya",2,"No"
600006,"Greece","Turkey (Mediterranean Sea)",100,0.148148148148148,"Greece","Turkey",3,"No"
600006,"Greece","Crete (Greece)",100,0.378378378378378,"Greece","Crete (Greece)",NA,"No"
600006,"Greece","Egypt (Mediterranean)",100,0.661764705882353,"Greece","Egypt",2,"No"
600006,"Grenada","Saint Vincent & the Grenadines",100,0.638888888888889,"Grenada","Saint Vincent & the Grenadines",2,"No"
600006,"Grenada","Trinidad & Tobago",100,0.566666666666667,"Grenada","Trinidad & Tobago",2,"No"
600006,"Grenada","Venezuela",100,0.617647058823529,"Grenada","Venezuela",2,"No"
600006,"Guam (USA)","Northern Marianas (USA)",100,0.767195767195767,"Guam (USA)","North Marianas (USA)",1,"No"
600006,"Guam (USA)","Micronesia (Federated States of)",100,0.924721984602224,"Guam (USA)","Micronesia",1,"No"
600006,"Guatemala (Caribbean)","Belize",100,0.888888888888889,"Guatemala","Belize",2,"No"
600006,"Guatemala (Caribbean)","Honduras (Caribbean)",100,0.990291262135922,"Guatemala","Honduras",2,"No"
600006,"Guatemala (Pacific)","El Salvador",100,0.428571428571429,"Guatemala","El Salvador",2,"No"
600006,"Guatemala (Pacific)","Mexico (Pacific)",100,0.946308724832215,"Guatemala","Mexico",2,"No"
600006,"Haiti","Bahamas",100,0.781954887218045,"Haiti","Bahamas",2,"No"
600006,"Haiti","Cuba",100,0.256410256410256,"Haiti","Cuba",2,"No"
600006,"Haiti","Dominican Republic",100,0.524590163934426,"Haiti","Dominican Republic",2,"No"
600006,"Haiti","Jamaica",100,0.632911392405063,"Haiti","Jamaica",2,"No"
600006,"Haiti","Turks & Caicos Isl. (UK)",100,0.09375,"Haiti","Turks & Caicos Isl. (UK)",2,"No"
600006,"Haiti","Colombia (Caribbean)",100,0.848167539267016,"Haiti","Colombia",2,"No"
600006,"Hawaii Main Islands (USA)","Hawaii Northwest Islands (USA)",100,0.636363636363636,"Hawaii Main Islands (USA)","Hawaii Northwest Islands (USA)",NA,"No"
600006,"Hawaii Northwest Islands (USA)","Hawaii Main Islands (USA)",100,0.363636363636364,"Hawaii Northwest Islands (USA)","Hawaii Main Islands (USA)",NA,"No"
600006,"Honduras (Caribbean)","Belize",100,0.0727272727272727,"Honduras","Belize",2,"No"
600006,"Honduras (Caribbean)","Cayman Isl. (UK)",100,0.120689655172414,"Honduras","Cayman Isl. (UK)",2,"No"
600006,"Honduras (Caribbean)","Cuba",100,0.0892857142857143,"Honduras","Cuba",2,"No"
600006,"Honduras (Caribbean)","Jamaica",100,0.328947368421053,"Honduras","Jamaica",2,"No"
600006,"Honduras (Caribbean)","Guatemala (Caribbean)",100,0.00970873786407767,"Honduras","Guatemala",2,"No"
600006,"Honduras (Caribbean)","Mexico (Atlantic)",100,0.0892857142857143,"Honduras","Mexico",2,"No"
600006,"Honduras (Caribbean)","Nicaragua (Caribbean)",100,0.271428571428571,"Honduras","Nicaragua",2,"No"
600006,"Honduras (Pacific)","El Salvador",100,0.976744186046512,"Honduras","El Salvador",2,"No"
600006,"Honduras (Pacific)","Nicaragua (Pacific)",100,0.961538461538462,"Honduras","Nicaragua",2,"No"
600006,"Hong Kong (China)","China",100,0.995391705069124,"Hong Kong","China",2,"No"
600006,"Howland & Baker Isl. (USA)","Kiribati (Phoenix Islands)",100,0.627232142857143,"Howland & Baker Isl. (USA)","Kiribati",3,"No"
600006,"India (mainland)","Bangladesh",100,0.018957345971564,"India","Bangladesh",2,"No"
600006,"India (mainland)","Myanmar",100,0.293515358361775,"India","Myanmar",2,"No"
600006,"India (mainland)","Sri Lanka",100,0.0372093023255814,"India","Sri Lanka",2,"No"
600006,"India (mainland)","Pakistan",100,0.330097087378641,"India","Pakistan",2,"No"
600006,"Indonesia (Central)","China",100,0.884339815762538,"Indonesia","China",2,"No"
600006,"Indonesia (Central)","Indonesia (Eastern)",100,0.85875,"Indonesia","Indonesia",3,"Yes"
600006,"Indonesia (Central)","Malaysia (Sarawak)",100,0.143939393939394,"Indonesia","Malaysia",4,"No"
600006,"Indonesia (Central)","Indonesia (Indian Ocean)",100,0.736596736596737,"Indonesia","Indonesia",3,"Yes"
600006,"Indonesia (Eastern)","Australia",100,0.72387459807074,"Indonesia","Australia",2,"No"
600006,"Indonesia (Eastern)","Malaysia (Sabah)",100,0.0471567267683773,"Indonesia","Malaysia",4,"No"
600006,"Indonesia (Eastern)","Palau",100,0.249180327868852,"Indonesia","Palau",2,"No"
600006,"Indonesia (Eastern)","Papua New Guinea",100,0.566834804539723,"Indonesia","Papua New Guinea",2,"No"
600006,"Indonesia (Eastern)","Philippines",100,0.568738229755179,"Indonesia","Philippines",2,"No"
600006,"Indonesia (Eastern)","Timor Leste",100,0.0364656381486676,"Indonesia","Timor Leste",2,"No"
600006,"Indonesia (Eastern)","Indonesia (Central)",100,0.14125,"Indonesia","Indonesia",3,"Yes"
600006,"Indonesia (Eastern)","Indonesia (Indian Ocean)",100,0.315054835493519,"Indonesia","Indonesia",3,"Yes"
600006,"Indonesia (Indian Ocean)","Christmas Isl. (Australia)",100,0.0893371757925072,"Indonesia","Christmas Isl. (Australia)",2,"No"
600006,"Indonesia (Indian Ocean)","Andaman & Nicobar Isl. (India)",100,0.152815013404826,"Indonesia","Andaman & Nicobar Isl. (India)",NA,"No"
600006,"Indonesia (Indian Ocean)","Indonesia (Eastern)",100,0.684945164506481,"Indonesia","Indonesia",3,"Yes"
600006,"Indonesia (Indian Ocean)","Malaysia (Peninsula West)",100,0.0567164179104478,"Indonesia","Malaysia",4,"No"
600006,"Indonesia (Indian Ocean)","Indonesia (Central)",100,0.263403263403263,"Indonesia","Indonesia",3,"Yes"
600006,"Indonesia (Indian Ocean)","Thailand (Andaman Sea)",100,0.152815013404826,"Indonesia","Thailand",2,"No"
600006,"Iran (Sea of Oman)","Oman",100,0.6,"Iran","Oman",6,"No"
600006,"Iran (Sea of Oman)","Pakistan",100,0.944444444444444,"Iran","Pakistan",2,"No"
600006,"Israel (Mediterranean)","Cyprus (South)",100,0.690909090909091,"Israel","Cyprus (South)",NA,"No"
600006,"Israel (Mediterranean)","Gaza Strip",100,0.19047619047619,"Israel","Gaza Strip",2,"No"
600006,"Israel (Mediterranean)","Lebanon",100,0.37037037037037,"Israel","Lebanon",2,"No"
600006,"Israel (Mediterranean)","Egypt (Mediterranean)",100,0.725806451612903,"Israel","Egypt",2,"No"
600006,"Italy","Albania",100,0.021505376344086,"Italy","Albania",2,"No"
600006,"Italy","Croatia",100,0.0319148936170213,"Italy","Croatia",2,"No"
600006,"Italy","Greece",100,0.11219512195122,"Italy","Greece",1,"No"
600006,"Italy","Libya",100,0.490196078431373,"Italy","Libya",2,"No"
600006,"Italy","Malta",100,0.116504854368932,"Italy","Malta",2,"No"
600006,"Italy","Montenegro",100,0.0162162162162162,"Italy","Montenegro",2,"No"
600006,"Italy","Corsica (France)",100,0.0808080808080808,"Italy","Corsica (France)",NA,"No"
600006,"Italy","Sicily (Italy)",100,0.286274509803922,"Italy","Sicily (Italy)",NA,"No"
600006,"Italy","Sardinia (Italy)",100,0.2890625,"Italy","Sardinia (Italy)",NA,"No"
600006,"Italy","France (Mediterranean)",100,0.0666666666666667,"Italy","France",2,"No"
600006,"Jamaica","Cayman Isl. (UK)",100,0.21875,"Jamaica","Cayman Isl. (UK)",2,"No"
600006,"Jamaica","Cuba",100,0.166666666666667,"Jamaica","Cuba",2,"No"
600006,"Jamaica","Haiti",100,0.367088607594937,"Jamaica","Haiti",2,"No"
600006,"Jamaica","Honduras (Caribbean)",100,0.671052631578947,"Jamaica","Honduras",2,"No"
600006,"Jamaica","Colombia (Caribbean)",100,0.764150943396226,"Jamaica","Colombia",2,"No"
600006,"Jamaica","Nicaragua (Caribbean)",100,0.431818181818182,"Jamaica","Nicaragua",2,"No"
600006,"Japan (Daito Islands)","Japan (main islands)",100,0.711091234347048,"Japan","Japan",2,"Yes"
