TaxonKey,TaxonName,DemPel
604250,Pleuronectes quadrituberculatus,Demersal
604252,Pleuronichthys decurrens,Demersal
604255,Psettichthys melanostictus,Demersal
604313,Normanichthys crockeri,Demersal
604326,Leucoraja naevus,Demersal
604329,Raja montagui,Demersal
604330,Myliobatis aquila,Demersal
604443,Carangoides malabaricus,Pelagic
604460,Epinephelus fuscoguttatus,Demersal
604461,Epinephelus tauvina,Demersal
604464,Gnathanodon speciosus,Demersal
604465,Diagramma pictum,Demersal
604493,Sphyraena obtusata,Demersal
604499,Sparus hasta,Demersal
604504,Psettodes belcheri,Demersal
604538,Dentex maroccanus,Demersal
604540,Pagrus caeruleostictus,Demersal
604543,Acanthopagrus bifasciatus,Demersal
604544,Sillago sihama,Demersal
604548,Umbrina canariensis,Demersal
604552,Raja brachyura,Demersal
604556,Trachyrincus scabrus,Demersal
604559,Nemipterus japonicus,Demersal
604569,Miichthys miiuy,Demersal
604582,Labrus merula,Demersal
604589,Lateolabrax japonicus,Demersal
604598,Chelidonichthys spinosus,Demersal
604604,Acipenser ruthenus,Demersal
604641,Dentex congoensis,Demersal
604642,Galeorhinus galeus,Demersal
604702,Notothenia coriiceps,Demersal
604708,Pomadasys jubelini,Demersal
604712,Acipenser gueldenstaedtii,Demersal
604722,Callorhinchus milii,Demersal
604740,Acanthurus sohal,Demersal
604791,Mugil soiuy,Demersal
604824,Otolithes ruber,Demersal
604827,Sphyraena jello,Demersal
604887,Spicara maena,Demersal
604943,Citharus linguatula,Demersal
604959,Elops lacerta,Demersal
604961,Epinephelus goreensis,Demersal
604964,Hoplostethus mediterraneus mediterraneus,Demersal
604988,Lophius vaillanti,Demersal
604996,Mustelus mustelus,Demersal
604997,Nezumia aequalis,Demersal
605002,Polydactylus quadrifilis,Demersal
605003,Pomadasys incisus,Demersal
605007,Pontinus kuhlii,Demersal
605008,Promethichthys prometheus,Demersal
605009,Pseudotolithus senegallus,Demersal
605038,Trigla lyra,Demersal
605048,Arripis trutta,Pelagic
605066,Pagrus auriga,Demersal
605068,Psettodes bennettii,Demersal
605071,Alepocephalus rostratus,Demersal
605081,Chelidonichthys lastoviza,Demersal
605094,Lophius budegassa,Demersal
605098,Borostomias antarcticus,Demersal
605348,Epinephelus fasciatus,Demersal
605353,Epinephelus morrhua,Demersal
605354,Variola louti,Demersal
605355,Alosa fallax,Pelagic
605367,Epinephelus areolatus,Demersal
605382,Trachurus capensis,Pelagic
605429,Halobatrachus didactylus,Demersal
605492,Raja microocellata,Demersal
605503,Rhynchobatus djiddensis,Demersal
605504,Chelidonichthys capensis,Demersal
605524,Epinephelus chlorostigma,Demersal
605526,Acanthopagrus berda,Demersal
605537,Bolbometopon muricatum,Demersal
605548,Scarus ghobban,Demersal
605659,Valamugil seheli,Demersal
605801,Gerres oblongus,Demersal
605805,Kyphosus cinerascens,Demersal
605852,Nemipterus randalli,Demersal
605889,Scolopsis taeniatus,Demersal
605933,Mustelus lenticulatus,Demersal
605937,Mustelus schmitti,Demersal
605938,Mustelus asterias,Demersal
605983,Mulloidichthys flavolineatus,Demersal
605996,Gerres oyena,Demersal
606006,Pomadasys kaakan,Demersal
606082,Plectropomus areolatus,Demersal
606317,Totoaba macdonaldi,Demersal
606356,Acanthopagrus latus,Demersal
606358,Chirocentrus dorab,Demersal
606396,Cephalopholis argus,Demersal
606422,Dipturus linteus,Demersal
606426,Chrysophrys auratus,Demersal
606441,Aethaloperca rogaa,Demersal
606447,Cephalopholis hemistiktos,Demersal
606450,Cephalopholis miniata,Demersal
606465,Epinephelus coioides,Demersal
606470,Epinephelus marginatus,Demersal
606473,Epinephelus polyphekadion,Demersal
606479,Saurida tumbil,Demersal
606507,Sargocentron spiniferum,Demersal
606531,Acanthopagrus schlegeli,Demersal
606948,Bathyraja eatonii,Demersal
606950,Bathyraja maccaini,Demersal
606951,Bathyraja meridionalis,Demersal
606952,Bathyraja murrayi,Demersal
606953,Amblyraja georgiana,Demersal
606954,Amblyraja taaf,Demersal
606957,Diastobranchus capensis,Demersal
606960,Bathylagus antarcticus,Demersal
606974,Benthalbella elongata,Pelagic
606985,Electrona carlsbergi,Pelagic
606990,Gymnoscopelus nicholsi,Pelagic
606998,Lampanyctus achirus,Pelagic
607026,Lycodichthys antarcticus,Demersal
607039,Dissostichus mawsoni,Demersal
607040,Gobionotothen acuta,Demersal
607041,Gobionotothen gibberifrons,Demersal
607044,Lepidonotothen kempi,Demersal
607045,Lepidonotothen squamifrons,Demersal
607046,Lepidonotothen mizops,Demersal
607047,Lepidonotothen nudifrons,Demersal
607048,Lepidonotothen larseni,Demersal
607052,Patagonotothen brevicauda,Demersal
607054,Trematomus eulepidotus,Demersal
607055,Trematomus hansoni,Demersal
607082,Pogonophryne permitini,Demersal
607103,Parachaenichthys georgianus,Demersal
607108,Chionobathyscus dewitti,Demersal
607109,Chionodraco hamatus,Demersal
607110,Chionodraco myersi,Demersal
